"","Subject","Gender","Age","Handedness","First_Language","Matching","Identity","Phase","Shape","Label","WeShape","SelfShape","TheyShape","AloneShape","ShapeLoc","Response","RT_sec","ACC","RT_ms","ScreenResolution","RefreshRate","Luminance","TextColor","BackgroundColor","VisualAngle","Contrast"
"29",1,"Female",24,"r","h","Match","Self","EXPERIMENT","Self","Self","Triangle","Circle","Diamond","Star","Bottom","m",0.683,1,683,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"30",1,"Female",24,"r","h","Match","Self","EXPERIMENT","Self","Self","Triangle","Circle","Diamond","Star","Bottom","m",0.617,1,617,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"31",1,"Female",24,"r","h","Match","Self","EXPERIMENT","Self","Self","Triangle","Circle","Diamond","Star","Bottom","m",0.634,1,634,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"32",1,"Female",24,"r","h","Match","Self","EXPERIMENT","Self","Self","Triangle","Circle","Diamond","Star","Bottom","m",0.617,1,617,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"33",1,"Female",24,"r","h","Match","Self","EXPERIMENT","Self","Self","Triangle","Circle","Diamond","Star","Top","m",0.617,1,617,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"34",1,"Female",24,"r","h","Match","Self","EXPERIMENT","Self","Self","Triangle","Circle","Diamond","Star","Bottom","m",0.633,1,633,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"35",1,"Female",24,"r","h","Match","Self","EXPERIMENT","Self","Self","Triangle","Circle","Diamond","Star","Bottom","m",0.767,1,767,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"36",1,"Female",24,"r","h","Match","Self","EXPERIMENT","Self","Self","Triangle","Circle","Diamond","Star","Top","m",0.55,1,550,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"37",1,"Female",24,"r","h","Match","Self","EXPERIMENT","Self","Self","Triangle","Circle","Diamond","Star","Top","m",0.7,1,700,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"38",1,"Female",24,"r","h","Match","They","TRAINING","They","They","Triangle","Circle","Diamond","Star","Bottom","m",0.833,1,833,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"39",1,"Female",24,"r","h","Match","They","TRAINING","They","They","Triangle","Circle","Diamond","Star","Top","m",0.95,1,950,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"40",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Top","m",0.817,1,817,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"41",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Bottom","m",0.934,1,934,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"42",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Bottom","m",0.8,1,800,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"43",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Bottom","m",1.05,1,1050,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"44",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Bottom","m",0.967,1,967,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"45",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Top","m",0.983,1,983,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"46",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Bottom","m",0.85,1,850,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"47",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Top","m",0.917,1,917,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"48",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Top","m",1.1,1,1100,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"49",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Bottom","m",1.15,1,1150,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"50",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Top","m",1,1,1000,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
